"Employee ID","Year","Title","AY Salary","HR Department","Age","Ethnicity","Marital Status","Religious Preference","Sex","Country of Citizenship"
2622,2017,"President Of Nau",390000,"Department 1",72,"White","Married",NA,"Female","United States"
2467,2017,"Dean",213270,"Department 2",73,"White","Married",NA,"Male","United States"
3215,2017,"Vice President",201715,NA,74,"White","Married",NA,"Male","United States"
1595,2017,"Dean",197000,"Department 3",66,"White","Single",NA,"Female","United States"
754,2017,"Interim Dean",195000,NA,72,"White","Married","No Preference Indicated","Female","United States"
2461,2017,"Director",182628,NA,66,"White","Married",NA,"Male","United States"
666,2017,"Vice Provost",175603,NA,68,"White","Married",NA,"Male","United States"
633,2017,"Dean",170000,NA,68,"White","Unknown",NA,"Female","United States"
1424,2017,"Exec Vice Pres &Chief Of Staff",170000,NA,50,"White","Married",NA,"Female","United States"
53,2017,"Coordinator",169317,NA,62,"White","Married",NA,"Male","United States"
1557,2017,"Professor",169000,"Department 4",62,"Two or More","Married",NA,"Female","United States"
2478,2017,"Vice Provost",168000,NA,55,"White","Married",NA,"Female","United States"
1722,2017,"Associate Dean",164777,NA,54,"White","Married",NA,"Male","United States"
2539,2017,"Dean",162135,"Department 5",63,"Asian","Married",NA,"Female","United States"
3081,2017,"Regents' Professor",161820,NA,77,"White","Married",NA,"Male","United States"
805,2017,"Associate Vice President",158000,NA,61,"White","Married","No Preference Indicated","Female","United States"
331,2017,"Professor",157802,NA,70,"White","Married",NA,"Male","United States"
2396,2017,"Director",154908,NA,76,"White","Married",NA,"Male","United States"
1657,2017,"Professor",151022,NA,69,"White","Married",NA,"Female","United States"
483,2017,"Professor",150000,"Department 6",58,"White","Married",NA,"Male","United States"
3190,2017,"Executive Director",150000,NA,61,"Black/African American","Single",NA,"Female","United States"
3211,2017,"Regents' Professor",149655,NA,77,"White","Married",NA,"Male","United States"
2105,2017,"Professor",148600,NA,67,"White","Married",NA,"Male","United States"
86,2017,"Professor",148581,NA,73,"White","Single",NA,"Male","United States"
947,2017,"Associate Professor",148547,"Department 1",54,"White","Married",NA,"Male","United States"
2309,2017,"Professor",148521,NA,67,"White","Married",NA,"Female","United States"
1826,2017,"Professor",148500,NA,69,"White","Married",NA,"Female","United States"
1851,2017,"Professor",147608,NA,73,"White","Married",NA,"Male","United States"
622,2017,"Professor",145866,"Department 1",67,"White","Married",NA,"Male","United States"
2598,2017,"Founding Chair",145717,NA,73,"White","Married",NA,"Male","United States"
1041,2017,"Professor",145490,"Department 7",67,"White","Single","No Preference Indicated","Male","United States"
2504,2017,"Chair",145373,NA,68,"White","Single",NA,"Female","United States"
2650,2017,"Chair",145143,NA,77,"White","Married",NA,"Male","United States"
1496,2017,"Professor",140903,"Department 8",75,"White","Married",NA,"Male","United States"
766,2017,"Chair",140632,NA,76,"White","Married",NA,"Female","United States"
3070,2017,"Associate Dean",140221,NA,68,"White","Married",NA,"Male","United States"
2996,2017,"Associate Vice President",140000,NA,56,"White","Single",NA,"Female","United States"
1873,2017,"Professor",140000,NA,72,"White","Divorced",NA,"Female","United States"
2243,2017,"Professor",137500,"Department 6",57,"White","Married",NA,"Female","United States"
2429,2017,"Founding Chair",136545,NA,74,"White","Widowed",NA,"Female","United States"
1226,2017,"Assistant Professor",135000,NA,53,"White","Married",NA,"Male","United States"
698,2017,"Associate Professor",133295,NA,65,"White","Married",NA,"Male","United States"
2957,2017,"Chair",133208,"Department 9",62,"White","Married",NA,"Male","United States"
1827,2017,"Associate Vice President",131772,"Department 10",55,"White","Married","Catholic, Roman","Female","United States"
3199,2017,"Associate Vice President",131463,NA,52,"White","Married",NA,"Female","United States"
1304,2017,"Associate Dean",131055,NA,61,"White","Married",NA,"Female","United States"
3112,2017,"Director",130167,NA,63,"White","Married",NA,"Male",NA
2473,2017,"Director",128831,NA,69,"White","Single",NA,"Male","United States"
2199,2017,"Chair",128620,NA,69,"White","Married",NA,"Male","United States"
2183,2017,"Professor",128060,NA,74,"Black/African American","Single",NA,"Male","United States"
