"Employee ID","Year","Title","AY Salary","HR Department","Age","Ethnicity","Marital Status","Religious Preference","Sex","Country of Citizenship"
1557,2017,"Professor",169000,"Department 4",62,"Two or More","Married",NA,"Female","United States"
3081,2017,"Regents' Professor",161820,NA,77,"White","Married",NA,"Male","United States"
331,2017,"Professor",157802,NA,70,"White","Married",NA,"Male","United States"
1657,2017,"Professor",151022,NA,69,"White","Married",NA,"Female","United States"
483,2017,"Professor",150000,"Department 6",58,"White","Married",NA,"Male","United States"
3211,2017,"Regents' Professor",149655,NA,77,"White","Married",NA,"Male","United States"
2105,2017,"Professor",148600,NA,67,"White","Married",NA,"Male","United States"
86,2017,"Professor",148581,NA,73,"White","Single",NA,"Male","United States"
947,2017,"Associate Professor",148547,"Department 1",54,"White","Married",NA,"Male","United States"
2309,2017,"Professor",148521,NA,67,"White","Married",NA,"Female","United States"
1826,2017,"Professor",148500,NA,69,"White","Married",NA,"Female","United States"
1851,2017,"Professor",147608,NA,73,"White","Married",NA,"Male","United States"
622,2017,"Professor",145866,"Department 1",67,"White","Married",NA,"Male","United States"
1041,2017,"Professor",145490,"Department 7",67,"White","Single","No Preference Indicated","Male","United States"
1496,2017,"Professor",140903,"Department 8",75,"White","Married",NA,"Male","United States"
1873,2017,"Professor",140000,NA,72,"White","Divorced",NA,"Female","United States"
2243,2017,"Professor",137500,"Department 6",57,"White","Married",NA,"Female","United States"
1226,2017,"Assistant Professor",135000,NA,53,"White","Married",NA,"Male","United States"
698,2017,"Associate Professor",133295,NA,65,"White","Married",NA,"Male","United States"
2183,2017,"Professor",128060,NA,74,"Black/African American","Single",NA,"Male","United States"
751,2017,"Professor",127594,NA,66,"American Indian/Alaska Native","Divorced","No Preference Indicated","Male","United States"
3256,2017,"Regents' Professor",127524,NA,71,"White","Married",NA,"Male","United States"
401,2017,"Professor",124094,"Department 14",66,"White","Married",NA,"Male","United States"
2225,2017,"Professor",123712,NA,74,"White","Unknown",NA,"Male",NA
3005,2017,"Professor",122669,"Department 8",64,"Not Specified","Married",NA,"Female","United States"
560,2017,"Professor",122669,"Department 8",61,"White","Married",NA,"Male","United States"
1050,2017,"Professor",122431,NA,68,"White","Married",NA,"Male","United States"
2496,2017,"Professor",122346,"Department 15",74,"White","Married",NA,"Male","United States"
2958,2017,"Professor",121500,NA,70,"White","Married",NA,"Male","United States"
3196,2017,"Professor",121146,NA,70,"White","Single",NA,"Female","United States"
815,2017,"Associate Professor",120000,NA,50,"Asian","Married",NA,"Male","United States"
2469,2017,"Er/Rr Cowden Prof, Regents Prf",119209,"Department 6",69,"White","Married",NA,"Male","United States"
324,2017,"Principal Lecturer",119209,NA,67,"White","Married",NA,"Female","United States"
2541,2017,"Professor",119159,"Department 16",70,"White","Married",NA,"Male","United States"
87,2017,"Professor",116722,NA,76,"White","Married",NA,"Male","United States"
2111,2017,"Senior Lecturer",115603,NA,53,"White","Married",NA,"Male","United States"
313,2017,"Professor Of Practice",115000,"Department 20",69,"White","Married",NA,"Male","United States"
